"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","90",".its() - get properties on the current subject","Connectors","2026-02-27","passed","2026-02-27","","","",""
"","97","assert - assert shape of an object","Assertions","2026-02-27","passed","2026-02-27","","Explicit Assertions","",""
"","74","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-02-27","passed","2026-02-27","","","",""
"","83","invokes a callback function with the current subject","Connectors","2026-02-27","passed","2026-02-27","",".then()","",""
"","166","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-02-27","passed","2026-02-27","","","",""
"","84",".prevAll() - get all previous sibling DOM elements","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","674",".as() - alias a route for later use","Aliasing","2026-02-27","passed","2026-02-27","","","",""
"","301","cy.visit() - visit a remote url","Navigation","2026-02-27","passed","2026-02-27","","","",""
"","75","Get current version of Cypress being run","Cypress APIs","2026-02-27","passed","2026-02-27","","Cypress.version","",""
"","92",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","2100","cy.scrollTo() - scroll the window or element to a position","Actions","2026-02-27","passed","2026-02-27","","","",""
"","274","cy.wait() - wait for a specific route","Waiting","2026-02-27","passed","2026-02-27","","","",""
"","20","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-02-27","passed","2026-02-27","","","",""
"","90",".not() - remove DOM elements from set of DOM elements","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","84",".parents() - get parent DOM elements from DOM elements","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","169","cy.contains() - query DOM elements with matching content","Querying","2026-02-27","passed","2026-02-27","","","",""
"","75","Get underlying OS name","Cypress APIs","2026-02-27","passed","2026-02-27","","Cypress.platform","",""
"","119",".and() - chain multiple assertions together","Assertions","2026-02-27","passed","2026-02-27","","Implicit Assertions","",""
"","1800",".click() - click on a DOM element","Actions","2026-02-27","passed","2026-02-27","","","",""
"","90",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","298",".as() - alias a DOM element for later use","Aliasing","2026-02-27","passed","2026-02-27","","","",""
"","824",".select() - select an option in a <select> element","Actions","2026-02-27","passed","2026-02-27","","","",""
"","101","cy.readFile() - read file contents","Files","2026-02-27","passed","2026-02-27","","","",""
"","495","cy.request() - save response in the shared test context","Network Requests","2026-02-27","passed","2026-02-27","","","",""
"","101",".first() - get first DOM element","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","88","yields the original subject without return","Connectors","2026-02-27","passed","2026-02-27","",".then()","",""
"","93",".last() - get last DOM element","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","82",".invoke() - invoke a function on the current subject","Connectors","2026-02-27","passed","2026-02-27","","","",""
"","112","expect - make an assertion about a specified subject","Assertions","2026-02-27","passed","2026-02-27","","Explicit Assertions","",""
"","86",".next() - get next sibling DOM element","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","165","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-02-27","passed","2026-02-27","","","",""
"","733",".uncheck() - uncheck a checkbox element","Actions","2026-02-27","passed","2026-02-27","","","",""
"","244","can filter for uncompleted tasks","example to-do app","2026-02-27","passed","2026-02-27","","with a checked task","",""
"","110","finds element by class name regex","Assertions","2026-02-27","passed","2026-02-27","","Explicit Assertions","",""
"","229",".children() - get child DOM elements","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","366",".blur() - blur off a DOM element","Actions","2026-02-27","passed","2026-02-27","","","",""
"","740",".check() - check a checkbox or radio element","Actions","2026-02-27","passed","2026-02-27","","","",""
"","1590","retries the should callback until assertions pass","Assertions","2026-02-27","passed","2026-02-27","","Explicit Assertions","",""
"","87","cy.fixture() or require - load a fixture","Files","2026-02-27","passed","2026-02-27","","","",""
"","108",".trigger() - trigger an event on a DOM element","Actions","2026-02-27","passed","2026-02-27","","","",""
"","78","yields the value yielded by the last Cypress command inside","Connectors","2026-02-27","passed","2026-02-27","",".then()","",""
"","192","cy.hash() - get the current URL hash","Location","2026-02-27","passed","2026-02-27","","","",""
"","155","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-02-27","passed","2026-02-27","","","",""
"","24","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-02-27","passed","2026-02-27","","","",""
"","71","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-02-27","passed","2026-02-27","","Cypress.Screenshot","",""
"","105","matches unknown text between two elements","Assertions","2026-02-27","passed","2026-02-27","","Explicit Assertions","",""
"","81","Get environment variables","Cypress APIs","2026-02-27","passed","2026-02-27","","Cypress.env()","",""
"","97",".nextAll() - get all next sibling DOM elements","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","79",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-02-27","passed","2026-02-27","","Cypress.dom","",""
"","206",".each() - iterate over an array of elements","Connectors","2026-02-27","passed","2026-02-27","","","",""
"","298","cy.fixture() - load a fixture","Files","2026-02-27","passed","2026-02-27","","","",""
"","325",".focus() - focus on a DOM element","Actions","2026-02-27","passed","2026-02-27","","","",""
"","174","cy.clearCookie() - clear a browser cookie","Cookies","2026-02-27","passed","2026-02-27","","","",""
"","2751","cy.viewport() - set the viewport size and dimension","Viewport","2026-02-27","passed","2026-02-27","","","",""
"","210",".add() - create a custom command","Cypress APIs","2026-02-27","passed","2026-02-27","","Cypress.Commands","",""
"","93",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","2525","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-02-27","passed","2026-02-27","","","",""
"","4461","cy.wait() - wait for a specific amount of time","Waiting","2026-02-27","passed","2026-02-27","","","",""
"","84",".prev() - get previous sibling DOM element","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","239","can delete all completed tasks","example to-do app","2026-02-27","passed","2026-02-27","","with a checked task","",""
"","760","cy.screenshot() - take a screenshot","Misc","2026-02-27","passed","2026-02-27","","Cypress.Screenshot","",""
"","3627",".type() - type into a DOM element","Actions","2026-02-27","passed","2026-02-27","","","",""
"","159","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-02-27","passed","2026-02-27","","","",""
"","145","cy.document() - get the document object","Window","2026-02-27","passed","2026-02-27","","","",""
"","87","Get current spec information","Cypress APIs","2026-02-27","passed","2026-02-27","","Cypress.spec","",""
"","679","cy.intercept() - route responses to matching requests","Network Requests","2026-02-27","passed","2026-02-27","","","",""
"","282",".should() - make an assertion about the current subject","Assertions","2026-02-27","passed","2026-02-27","","Implicit Assertions","",""
"","90",".filter() - get DOM elements that match the selector","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","72","cy.title() - get the title","Window","2026-02-27","passed","2026-02-27","","","",""
"","78","cy.url() - get the current URL","Location","2026-02-27","passed","2026-02-27","","","",""
"","87",".parent() - get parent DOM element from DOM elements","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","77","yields the returned value to the next command","Connectors","2026-02-27","passed","2026-02-27","",".then()","",""
"","251","cy.focused() - get the DOM element that has focus","Misc","2026-02-27","passed","2026-02-27","","","",""
"","93",".find() - get descendant DOM elements of the selector","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","192","cy.request() with query parameters","Network Requests","2026-02-27","passed","2026-02-27","","","",""
"","105","can throw any error","Assertions","2026-02-27","passed","2026-02-27","","Explicit Assertions","",""
